Title,Price,Discount Price,Category,Description,Image,Rating,PurchaseID
Short Sleeves Top - Pink,599,449,top,"Breathable cotton top with a soft pastel pink tone.","https://source.unsplash.com/400x500/?pink-top,women",4.2,119
Straight Kurti with Embroidery - Blue,1799,1499,kurti,"Blue straight kurti featuring thread embroidery on the neckline.","https://source.unsplash.com/400x500/?blue-kurti,women",4.6,120
Cotton Palazzo Pants - Beige,899,699,palazzo,"Wide-fit palazzo pants made from breathable cotton fabric.","https://source.unsplash.com/400x500/?palazzo,women",4.3,121
Printed Kaftan Dress - Green,1899,1599,dress,"Relaxed-fit green kaftan dress with soft prints.","https://source.unsplash.com/400x500/?kaftan,women",4.4,122
Festive Kurti - Royal Blue,2199,1799,kurti,"Festival-ready royal blue kurti with rich foil prints.","https://source.unsplash.com/400x500/?royal-blue-kurti,women",4.7,123
Soft Chiffon Dupatta - Lavender,699,549,dupatta,"Delicate chiffon dupatta in a trending pastel lavender.","https://source.unsplash.com/400x500/?lavender-dupatta,women",4.2,124
Elegant Anarkali Kurti - Black,2499,1999,kurti,"Long black anarkali with elegant flare and embroidery.","https://source.unsplash.com/400x500/?anarkali,women",4.8,125
Rayon Printed Kurti - Yellow,1299,999,kurti,"Soft rayon kurti with bright yellow floral prints.","https://source.unsplash.com/400x500/?yellow-kurti,women",4.1,126
A-line Dress - Wine Red,2299,1899,dress,"A-line party wear dress in wine red tone.","https://source.unsplash.com/400x500/?wine-dress,women",4.6,127
Cotton Kurti with Mandala Print,1599,1299,kurti,"Ethnic mandala pattern kurti in breathable cotton fabric.","https://source.unsplash.com/400x500/?mandala-kurti,women",4.3,128
Printed Top - Mustard Yellow,899,699,top,"Trendy mustard printed top suitable for casual outings.","https://source.unsplash.com/400x500/?mustard-top,women",4.1,129
Georgette Shrug - White,1199,899,shrug,"Flowy white shrug ideal for dresses and casual tops.","https://source.unsplash.com/400x500/?white-shrug,women",4.4,130
Indo-Western Kurti - Grey,1699,1499,kurti,"Grey indo-western kurti with asymmetrical hem.","https://source.unsplash.com/400x500/?grey-kurti,women",4.2,131
Silk Blend Saree - Purple,3599,2999,saree,"Purple saree with traditional zari borders.","https://source.unsplash.com/400x500/?zari-saree,women",4.6,132
Cotton Pants - Black Slim Fit,799,599,pants,"Soft cotton slim-fit pants ideal for kurtis and tops.","https://source.unsplash.com/400x500/?women-black-pants",4.0,133
Woolen Kurti - Winter Grey,1999,1699,kurti,"Warm woolen kurti ideal for winter morning outings.","https://source.unsplash.com/400x500/?winter-kurti,women",4.5,134
Party Wear Dress - Silver Shimmer,3299,2899,dress,"Shimmer party dress with elegant neckline.","https://source.unsplash.com/400x500/?party-dress,women",4.7,135
Cotton Printed Dupatta - Red & White,649,499,dupatta,"Classic red-white printed dupatta for everyday wear.","https://source.unsplash.com/400x500/?printed-dupatta,women",4.0,136
Casual Kurti - Peach Soft Print,999,849,kurti,"Comfortable peach kurti with soft subtle prints.","https://source.unsplash.com/400x500/?peach-kurti,women",3.9,137
Ethnic Skirt - Maroon,1599,1299,skirt,"Flared maroon ethnic skirt perfect for festive events.","https://source.unsplash.com/400x500/?ethnic-skirt,women",4.5,138
Straight Cotton Kurti - Olive,1399,1099,kurti,"Simple straight kurti made from pure cotton.","https://source.unsplash.com/400x500/?olive-kurti,women",4.1,139
Printed Palazzo - Blue,999,799,palazzo,"Light printed palazzo pants for everyday comfort.","https://source.unsplash.com/400x500/?blue-palazzo,women",4.2,140
Maxi Gown Dress - Black,2599,2199,dress,"Elegant black gown with a premium flare design.","https://source.unsplash.com/400x500/?black-gown,women",4.8,141
Soft Leggings - Olive Green,599,449,leggings,"Stretchable leggings with soft breathable fabric.","https://source.unsplash.com/400x500/?green-leggings,women",4.0,142
Straight Fit Kurti - Brown,1099,849,kurti,"Brown straight-fit kurti with detailed stitching.","https://source.unsplash.com/400x500/?brown-kurti,women",4.1,143
Printed Saree - Teal Blue,1899,1499,saree,"Everyday teal-blue printed saree ideal for office wear.","https://source.unsplash.com/400x500/?teal-saree,women",4.3,144
Sleeveless Summer Dress - Yellow,1599,1299,dress,"Bright yellow sleeveless dress ideal for summer.","https://source.unsplash.com/400x500/?yellow-dress,women",4.4,145
Chiffon Dupatta - Pastel Blue,599,479,dupatta,"Soft chiffon dupatta with a smooth drape.","https://source.unsplash.com/400x500/?blue-dupatta,women",4.2,146
Boho Top - Olive Print,1099,849,top,"Olive-green boho-style printed top.","https://source.unsplash.com/400x500/?boho-top,women",4.3,147
Rayon Kurti - Sky Blue,1299,999,kurti,"Soft rayon kurti in pastel sky blue shade.","https://source.unsplash.com/400x500/?skyblue-kurti,women",4.5,148
